매장,Floor(층),층별 매장 정보,층별 매장 정보 설명,층별 서비스 공간,층별 서비스 공간 설명,운영시간,주소,방문 전 확인 사항,Content
강남,B1,Service Center,갤럭시 제품의 전문 상담과 체계적인 수리를 제공하는 프리미엄 서비스 공간,Service Center,신속하고 편리한 서비스를 이용할 수 있도록 사전 예약 기능과 진동벨 수신알림 서비스를 제공하고 있습니다. ,10:00 ~ 19:00,서울 서초구 강남대로 411,"사전예약 없이 방문시 버시스 대기 시간이 길어질 수 있습니다. 
토요일 오후, 일/공휴일은 방문 전 예약이 필요합니다. ","매장 : 강남, Floor(층) : B1, 층별 매장 정보 : Service Center, 층별 매장 정보 설명 : 갤럭시 제품의 전문 상담과 체계적인 수리를 제공하는 프리미엄 서비스 공간, 층별 서비스 공간 : Service Center, 층별 서비스 공간 설명 : 신속하고 편리한 서비스를 이용할 수 있도록 사전 예약 기능과 진동벨 수신알림 서비스를 제공하고 있습니다. , 운영시간 : 10:00 ~ 19:00, 주소 : 서울 서초구 강남대로 411, 방문 전 확인 사항 : 사전예약 없이 방문시 버시스 대기 시간이 길어질 수 있습니다. 
토요일 오후, 일/공휴일은 방문 전 예약이 필요합니다. "
강남,B1,Service Center,갤럭시 제품의 전문 상담과 체계적인 수리를 제공하는 프리미엄 서비스 공간,City Bunker,"감각적인 사진을 찍을 수 있는 도심 속 벙커 컨셉의 포토 스팟입니다. ,",10:00 ~ 19:00,서울 서초구 강남대로 412,"사전예약 없이 방문시 버시스 대기 시간이 길어질 수 있습니다. 
토요일 오후, 일/공휴일은 방문 전 예약이 필요합니다. ","매장 : 강남, Floor(층) : B1, 층별 매장 정보 : Service Center, 층별 매장 정보 설명 : 갤럭시 제품의 전문 상담과 체계적인 수리를 제공하는 프리미엄 서비스 공간, 층별 서비스 공간 : City Bunker, 층별 서비스 공간 설명 : 감각적인 사진을 찍을 수 있는 도심 속 벙커 컨셉의 포토 스팟입니다. ,, 운영시간 : 10:00 ~ 19:00, 주소 : 서울 서초구 강남대로 412, 방문 전 확인 사항 : 사전예약 없이 방문시 버시스 대기 시간이 길어질 수 있습니다. 
토요일 오후, 일/공휴일은 방문 전 예약이 필요합니다. "
강남,B1,Service Center,갤럭시 제품의 전문 상담과 체계적인 수리를 제공하는 프리미엄 서비스 공간,Mobile,-,10:00 ~ 19:00,서울 서초구 강남대로 413,"사전예약 없이 방문시 버시스 대기 시간이 길어질 수 있습니다. 
토요일 오후, 일/공휴일은 방문 전 예약이 필요합니다. ","매장 : 강남, Floor(층) : B1, 층별 매장 정보 : Service Center, 층별 매장 정보 설명 : 갤럭시 제품의 전문 상담과 체계적인 수리를 제공하는 프리미엄 서비스 공간, 층별 서비스 공간 : Mobile, 층별 서비스 공간 설명 : -, 운영시간 : 10:00 ~ 19:00, 주소 : 서울 서초구 강남대로 413, 방문 전 확인 사항 : 사전예약 없이 방문시 버시스 대기 시간이 길어질 수 있습니다. 
토요일 오후, 일/공휴일은 방문 전 예약이 필요합니다. "
강남,1F,Plug-in,갤럭시 최신 제품과 이색적인 전시로 경험이 시작되는 공간,Hidden Space,원형 계단 속 숨겨진 공간에 우주를 표현한 브랜드 헤리티지를 확인할 수 있습니다. ,10:00 ~ 20:00,서울 서초구 강남대로 414,"사전예약 없이 방문시 버시스 대기 시간이 길어질 수 있습니다. 
토요일 오후, 일/공휴일은 방문 전 예약이 필요합니다. ","매장 : 강남, Floor(층) : 1F, 층별 매장 정보 : Plug-in, 층별 매장 정보 설명 : 갤럭시 최신 제품과 이색적인 전시로 경험이 시작되는 공간, 층별 서비스 공간 : Hidden Space, 층별 서비스 공간 설명 : 원형 계단 속 숨겨진 공간에 우주를 표현한 브랜드 헤리티지를 확인할 수 있습니다. , 운영시간 : 10:00 ~ 20:00, 주소 : 서울 서초구 강남대로 414, 방문 전 확인 사항 : 사전예약 없이 방문시 버시스 대기 시간이 길어질 수 있습니다. 
토요일 오후, 일/공휴일은 방문 전 예약이 필요합니다. "
강남,1F,Plug-in,갤럭시 최신 제품과 이색적인 전시로 경험이 시작되는 공간,Galaxy Flagship,갤럭시 최신 제품과 삼성닷컴 전용 컬러를 가장 먼저 만날 수 있습니다. ,10:00 ~ 20:00,서울 서초구 강남대로 415,"사전예약 없이 방문시 버시스 대기 시간이 길어질 수 있습니다. 
토요일 오후, 일/공휴일은 방문 전 예약이 필요합니다. ","매장 : 강남, Floor(층) : 1F, 층별 매장 정보 : Plug-in, 층별 매장 정보 설명 : 갤럭시 최신 제품과 이색적인 전시로 경험이 시작되는 공간, 층별 서비스 공간 : Galaxy Flagship, 층별 서비스 공간 설명 : 갤럭시 최신 제품과 삼성닷컴 전용 컬러를 가장 먼저 만날 수 있습니다. , 운영시간 : 10:00 ~ 20:00, 주소 : 서울 서초구 강남대로 415, 방문 전 확인 사항 : 사전예약 없이 방문시 버시스 대기 시간이 길어질 수 있습니다. 
토요일 오후, 일/공휴일은 방문 전 예약이 필요합니다. "
강남,1F,Plug-in,갤럭시 최신 제품과 이색적인 전시로 경험이 시작되는 공간,Galaxy Consultant,-,10:00 ~ 20:00,서울 서초구 강남대로 416,"사전예약 없이 방문시 버시스 대기 시간이 길어질 수 있습니다. 
토요일 오후, 일/공휴일은 방문 전 예약이 필요합니다. ","매장 : 강남, Floor(층) : 1F, 층별 매장 정보 : Plug-in, 층별 매장 정보 설명 : 갤럭시 최신 제품과 이색적인 전시로 경험이 시작되는 공간, 층별 서비스 공간 : Galaxy Consultant, 층별 서비스 공간 설명 : -, 운영시간 : 10:00 ~ 20:00, 주소 : 서울 서초구 강남대로 416, 방문 전 확인 사항 : 사전예약 없이 방문시 버시스 대기 시간이 길어질 수 있습니다. 
토요일 오후, 일/공휴일은 방문 전 예약이 필요합니다. "
강남,2F,Connection Hub,갤럭시의 다양한 제품을 한곳에서 체험하고 구매할 수 있는 공간,All about Galaxy,다양한 갤럭시 제품과 브랜드 콜라보 액세서리를 한눈에 볼 수 있는 제품 라인업 존입니다. ,10:00 ~ 20:00,서울 서초구 강남대로 417,"사전예약 없이 방문시 버시스 대기 시간이 길어질 수 있습니다. 
토요일 오후, 일/공휴일은 방문 전 예약이 필요합니다. ","매장 : 강남, Floor(층) : 2F, 층별 매장 정보 : Connection Hub, 층별 매장 정보 설명 : 갤럭시의 다양한 제품을 한곳에서 체험하고 구매할 수 있는 공간, 층별 서비스 공간 : All about Galaxy, 층별 서비스 공간 설명 : 다양한 갤럭시 제품과 브랜드 콜라보 액세서리를 한눈에 볼 수 있는 제품 라인업 존입니다. , 운영시간 : 10:00 ~ 20:00, 주소 : 서울 서초구 강남대로 417, 방문 전 확인 사항 : 사전예약 없이 방문시 버시스 대기 시간이 길어질 수 있습니다. 
토요일 오후, 일/공휴일은 방문 전 예약이 필요합니다. "
강남,2F,Connection Hub,갤럭시의 다양한 제품을 한곳에서 체험하고 구매할 수 있는 공간,Pick-Up,삼성닷컴에서 픽업 주문하고 픽업존에 방문하여 수신된 메시지를 보여주시면 쉽고 빠르게 제품을 받아볼 수 있습니다. ,10:00 ~ 20:00,서울 서초구 강남대로 418,"사전예약 없이 방문시 버시스 대기 시간이 길어질 수 있습니다. 
토요일 오후, 일/공휴일은 방문 전 예약이 필요합니다. ","매장 : 강남, Floor(층) : 2F, 층별 매장 정보 : Connection Hub, 층별 매장 정보 설명 : 갤럭시의 다양한 제품을 한곳에서 체험하고 구매할 수 있는 공간, 층별 서비스 공간 : Pick-Up, 층별 서비스 공간 설명 : 삼성닷컴에서 픽업 주문하고 픽업존에 방문하여 수신된 메시지를 보여주시면 쉽고 빠르게 제품을 받아볼 수 있습니다. , 운영시간 : 10:00 ~ 20:00, 주소 : 서울 서초구 강남대로 418, 방문 전 확인 사항 : 사전예약 없이 방문시 버시스 대기 시간이 길어질 수 있습니다. 
토요일 오후, 일/공휴일은 방문 전 예약이 필요합니다. "
강남,2F,Connection Hub,갤럭시의 다양한 제품을 한곳에서 체험하고 구매할 수 있는 공간,Acc. Wall,다양한 갤럭시 액세서리를 체험하고 구매할 수 있는 존입니다. ,10:00 ~ 20:00,서울 서초구 강남대로 419,"사전예약 없이 방문시 버시스 대기 시간이 길어질 수 있습니다. 
토요일 오후, 일/공휴일은 방문 전 예약이 필요합니다. ","매장 : 강남, Floor(층) : 2F, 층별 매장 정보 : Connection Hub, 층별 매장 정보 설명 : 갤럭시의 다양한 제품을 한곳에서 체험하고 구매할 수 있는 공간, 층별 서비스 공간 : Acc. Wall, 층별 서비스 공간 설명 : 다양한 갤럭시 액세서리를 체험하고 구매할 수 있는 존입니다. , 운영시간 : 10:00 ~ 20:00, 주소 : 서울 서초구 강남대로 419, 방문 전 확인 사항 : 사전예약 없이 방문시 버시스 대기 시간이 길어질 수 있습니다. 
토요일 오후, 일/공휴일은 방문 전 예약이 필요합니다. "
강남,2F,Connection Hub,갤럭시의 다양한 제품을 한곳에서 체험하고 구매할 수 있는 공간,Consulting Lounge,-,10:00 ~ 20:00,서울 서초구 강남대로 420,"사전예약 없이 방문시 버시스 대기 시간이 길어질 수 있습니다. 
토요일 오후, 일/공휴일은 방문 전 예약이 필요합니다. ","매장 : 강남, Floor(층) : 2F, 층별 매장 정보 : Connection Hub, 층별 매장 정보 설명 : 갤럭시의 다양한 제품을 한곳에서 체험하고 구매할 수 있는 공간, 층별 서비스 공간 : Consulting Lounge, 층별 서비스 공간 설명 : -, 운영시간 : 10:00 ~ 20:00, 주소 : 서울 서초구 강남대로 420, 방문 전 확인 사항 : 사전예약 없이 방문시 버시스 대기 시간이 길어질 수 있습니다. 
토요일 오후, 일/공휴일은 방문 전 예약이 필요합니다. "
